full_name,description,url,language,stars,category
stitionai/devika,Devika: first open-source Agentic Software Engineer,https://github.com/stitionai/devika,Python,19508,coding-agent
TransformerOptimus/SuperAGI,SuperAGI: A dev-first open source autonomous AI agent framework,https://github.com/TransformerOptimus/SuperAGI,Python,17541,agent-framework
google-gemini/cookbook,Examples and guides for using the Gemini API,https://github.com/google-gemini/cookbook,Jupyter Notebook,17307,cookbook
simular-ai/Agent-S,Agent S: an open agentic framework that uses computers like a human,https://github.com/simular-ai/Agent-S,Python,11666,agent-framework
mistralai/mistral-inference,Official inference library for Mistral models,https://github.com/mistralai/mistral-inference,Jupyter Notebook,10808,inference
punkpeye/awesome-mcp-clients,A collection of MCP clients,https://github.com/punkpeye/awesome-mcp-clients,,6449,mcp
ashishps1/learn-ai-engineering,Learn AI and LLMs from scratch using free resources,https://github.com/ashishps1/learn-ai-engineering,,5642,learning
ed-donner/agents,Repo for the Complete Agentic AI Engineering Course,https://github.com/ed-donner/agents,Jupyter Notebook,5156,learning
xlang-ai/OpenAgents,OpenAgents: An Open Platform for Language Agents in the Wild,https://github.com/xlang-ai/OpenAgents,Python,4831,agent-platform
coleam00/ai-agents-masterclass,AI Agents Masterclass code,https://github.com/coleam00/ai-agents-masterclass,Python,3406,learning
luo-junyu/Awesome-Agent-Papers,"LLM Agent: A Survey on Methodology, Applications and Safety",https://github.com/luo-junyu/Awesome-Agent-Papers,,2717,awesome-list
kyrolabs/awesome-agents,Awesome list of AI Agents,https://github.com/kyrolabs/awesome-agents,,2362,awesome-list
jim-schwoebel/awesome_ai_agents,"1,500+ resources and tools related to AI agents",https://github.com/jim-schwoebel/awesome_ai_agents,,1774,awesome-list
caramaschiHG/awesome-ai-agents-2026,"The most comprehensive list of AI agents, frameworks & tools in 2026",https://github.com/caramaschiHG/awesome-ai-agents-2026,,976,awesome-list
gobii-ai/gobii-platform,"Your easy to use, always-on AI workforce",https://github.com/gobii-ai/gobii-platform,Python,450,agent-platform
